	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size	others_app_size	others_app_number	others_text_size	others_text_number
0	191554.0	176174.5	1709.0	68632.0	0.0	0.0	0.0	30.5	24.5	1.0	7.0	0.0	0.0	0.5	7.082	1.23016779343	11.0	5.5	63.5	438069.5	369628.0	5.0	0.0	0.0
1	593553.5	225996.0	4383.0	67971.0	182.0	0.0	0.0	28.0	21.0	1.0	13.0	1.0	0.0	0.0	5.214	1.10168582182	16.0	5.0	64.0	892085.5	371242.0	6.0	0.0	0.0
2	583460.5	209016.0	22305.0	101102.0	0.0	0.0	0.0	81.5	28.5	3.0	6.0	0.0	0.0	0.0	11.4665	3.17095403467	23.0	11.0	119.0	915883.5	372545.0	6.0	77160.0	1.0
4	1338238.5	788586.0	66182.0	121675.5	182.0	0.0	0.0	125.0	45.0	5.0	22.0	1.0	0.0	0.0	7.38	1.02242036365	39.0	22.0	198.0	2314864.0	373373.0	7.0	49630.0	4.0
6	686048.5	433909.0	10538.0	62579.0	91.0	0.0	0.0	62.5	43.0	1.0	28.5	0.5	0.0	0.0	6.2015	0.901327132622	33.5	16.5	135.5	1193165.5	370366.0	7.0	0.0	0.5
7	937621.0	406287.0	706.0	185019.0	182.0	0.0	0.0	84.5	40.0	1.0	31.0	1.0	0.0	0.0	7.3745	2.70551081314	45.5	20.5	157.5	1529815.0	376278.0	6.5	0.0	0.0
9	560143.5	880907.0	24256.0	87144.0	182.0	0.0	0.0	103.0	52.5	2.5	44.5	1.0	0.0	0.0	11.133	3.08592604578	64.0	25.0	203.5	1552632.5	370818.5	6.5	45724.0	5.0
10	2372373.5	666719.0	242501.0	177162.5	0.0	0.0	0.0	212.0	54.0	3.0	32.5	0.0	0.0	0.0	7.904	3.1022292952	65.0	36.5	301.5	3458756.0	370933.0	6.0	1456.0	1.0
12	1275165.0	357481.5	19468.0	375963.5	0.0	0.0	0.0	94.5	27.0	4.0	9.0	0.0	0.0	0.0	11.3385	1.94911246469	25.5	13.0	134.5	2028078.0	414818.0	6.0	0.0	0.0
13	983108.5	468476.5	96138.0	35824.0	0.0	0.0	0.0	74.0	37.5	3.0	9.0	0.0	0.0	0.0	10.5745	1.56637716084	27.0	8.0	123.5	1583547.0	369487.5	4.5	0.0	2.0
16	6633067.0	501650.5	15492.0	57491.5	182.0	0.0	0.0	65.0	35.0	4.0	28.0	1.0	0.0	0.0	7.5145	2.29679716344	34.5	15.0	133.0	7207883.0	369466.0	5.0	0.0	0.0
17	581096.0	669714.5	254739.0	74223.0	0.0	0.0	0.0	67.0	41.5	4.0	12.0	0.0	0.0	0.0	12.309	3.95124026604	40.0	18.0	124.5	1579772.5	2460546.0	16.0	0.0	0.0
18	1854783.0	721609.0	45528.0	312994.0	182.0	0.0	0.0	76.5	55.0	6.0	31.5	1.0	0.0	0.0	10.768	3.27092976996	61.5	24.5	170.0	2935096.0	385744.5	10.0	0.0	0.0
19	2329319.0	548786.0	62511.0	157142.0	967.0	0.0	0.0	59.0	44.0	9.0	60.0	2.0	0.0	0.0	10.631	2.26781048482	36.0	13.0	174.0	3098725.0	370130.0	6.0	0.0	0.0
21	1456649.0	1210109.0	122962.0	134322.0	182.0	0.0	0.0	106.0	75.0	12.0	34.0	1.0	0.0	0.0	10.687	1.22955093679	55.0	26.0	228.0	2924224.0	373419.0	9.0	0.0	1.0
26	536237.5	348821.5	8120.0	26052.5	0.0	0.0	0.0	68.0	21.5	2.0	12.0	0.0	0.0	0.0	5.927	2.07286842081	18.5	7.0	103.5	919231.5	369464.0	4.0	5408.0	1.0
28	1126166.5	983793.5	45054.5	65504.5	182.0	0.0	0.0	121.5	62.0	8.0	32.5	1.0	0.0	0.0	15.2315	5.0670021719	40.5	13.5	225.0	2220701.0	373293.5	5.0	0.0	0.0
